TotalEmployed,Women,AfricanAmerican,Asian,HispanicLatino,none,label1,label2,label3,label4,label5
230,0.4,7.4,1.2,39.9,,brickmason,blockmason,stonemason,,
60,0.9,4.4,1.6,5.9,,millwrights,,,,
77,0.9,2.2,0.3,14.4,,worker,,,,
358,0.9,7.5,1.7,11.6,,mechanic,specialist,,,
874,1,5.9,2.7,16.2,,electrician,,,,
73,1,5.9,,12.3,,worker,,,,
71,1,0.9,1.2,5.9,,tool,die,makers,,
217,1.1,5,0.4,10.5,,technician,mechanic,,,
60,1.2,4.5,,15.7,,operator,,,,
234,1.3,8.4,0.4,42.9,,roofer,,,,
606,1.4,6.4,0.6,19.5,,pipelayer,plumber,pipefitter,steamfitter,
109,1.4,8.7,0.3,8.9,,installer,repairer,,,
1562,1.5,6,1.3,25.7,,carpenter,,,,
398,1.5,5.1,0.5,17.4,,engineer,operator,,,
75,1.6,13.5,8,16.2,,installer,repairer,,,
852,1.6,6.5,2.9,19.7,,technician,mechanic,,,
101,1.7,13.1,2.4,7.2,,engineer,operator,,,
153,1.7,5.5,6.4,13.8,,mechanic,technician,,,
86,1.9,7.6,0.4,22,,repairer,,,,
103,1.9,17.2,,10.2,,worker,,,,
397,2,8.6,2.2,13.2,,mechanic,installer,,,
64,2,6,,10.9,,mechanic,,,,
157,2.1,5.2,0.7,27.2,,repairer,,,,
209,2.1,3.6,0.4,56.9,,installer,taper,,,
51,2.2,3.3,5.6,21.2,,operator,,,,
224,2.3,1.9,1,42.7,,installer,finisher,,,
8667,2.5,6.3,1.4,29.6,,construction,extraction,occupations,,
141,2.6,1.8,2.4,2.5,,pilot,engineer,,,
439,2.6,8.8,3,13,,mechanic,,,,
844,2.7,3,1.2,16.1,,worker,,,,
58,2.8,14.5,,6,,engineer,operator,,,
55,2.8,3.5,1,33.5,,worker,,,,
1651,3.1,7.7,1.9,44.1,,laborer,,,,
204,3.3,16.2,1.1,15,,installer,repairer,,,
461,3.5,10.2,2.4,13.7,,worker,,,,
69,3.7,13.9,,10.6,,operator,,,,
5152,3.9,8.5,2.8,14.5,,installation,maintenance,repair,occupations,
113,4.1,18.1,0.3,41.3,,helper,,,,
14806,4.2,6.9,1.9,25,,natural,resources,construction,maintenance,occupations
53,4.7,8.8,2.9,5.4,,conductor,,,,
598,4.7,8.7,3.7,21,,worker,,,,
136,4.8,6.2,1.2,11.8,,worker,,,,
293,4.8,8.2,0.3,9.4,,fire,fighters,,,
3388,4.9,14.3,1.5,17.8,,driver,worker,,,
105,4.9,1.5,1.2,8,,technician,,,,
51,5.3,10.2,5.7,10.7,,repairer,,,,
1262,6.1,7.7,1.6,41,,worker,,,,
647,6.3,7.3,2.2,40.1,,painters,construction,maintenance,,
109,6.3,1.1,8,4.9,,manager,,,,
85,6.5,2.8,5.7,13,,carpenter,,,,
318,6.7,4.5,10.6,4.1,,engineer,,,,
409,6.9,7,4.2,12.1,,machinist,,,,
213,7.5,7.9,2.4,18.5,,worker,,,,
258,7.5,4.5,0.6,16.8,,worker,,,,
350,7.7,3,13.4,5.3,,engineer,,,,
300,8,6.7,1,8.7,,supervisor,mechanic,installer,repairer,manager
71,8.2,6.1,2.8,15.3,,worker,,,,
1244,8.2,3.7,1.4,9.1,,manager,,,,
71,8.6,12.3,,7,,operator,,,,
68,8.7,3.9,1.6,6.8,,programmer,operator,,,
54,8.7,5.8,1.3,9.5,,supervisor,manager,worker,,
568,8.9,23.4,1.5,26.7,,operator,,,,
55,9.2,2,,10.5,,operator,,,,
317,9.5,17.4,0.9,28.8,,cleaners,vehicles,equipment,,
93,9.5,9.2,1.6,5.4,,inspector,,,,
100,10,0.7,1.2,5.3,,estimator,,,,
137,10.3,6.1,11.1,5,,engineer,,,,
346,10.4,3.2,11.2,9.2,,engineer,,,,
335,10.5,10.8,7.5,13,,teller,repairer,,,
119,10.8,7.5,1.7,14.7,,salesperson,,,,
51,11.3,21.5,6.5,9.2,,inspector,,,,
200,11.4,13.7,4.4,11.8,,installer,repairer,,,
363,11.5,4.7,11.7,4.5,,engineer,,,,
83,12.6,15.7,8.7,27.3,,attendant,,,,
108,13.3,14.5,1.4,20.6,,worker,,,,
373,13.3,26.3,10.5,18.9,,driver,,,,
2931,13.5,5.1,9.6,6.7,,architecture,engineering,occupations,,
183,13.6,13.2,1.1,26.2,,worker,,,,
98,14,16.4,2.4,31.1,,collector,,,,
243,14.5,4.9,3.8,9.6,,manager,,,,
674,14.7,13.6,1.8,11.6,,officer,,,,
117,14.7,12.5,2.9,6.1,,supervisor,manager,,,
441,14.8,10.2,2.7,3.6,,clergy,,,,
87,14.8,10.3,4.4,12.4,,attendant,,,,
8827,14.9,16.9,2.5,19.7,,transportation,material,moving,occupations,
177,14.9,5.9,7.6,5.2,,engineer,,,,
50,15.3,5.2,0.1,12.8,,operator,editor,,,
60,15.3,1.8,0.3,4.7,,chiropractors,,,,
58,15.4,4.8,3.5,12.4,,repairer,,,,
52,15.4,16.2,4.4,13.2,,operator,,,,
98,16.1,11,5.9,12.9,,technician,operator,,,
351,17,10.3,14.1,22.7,,chef,cook,,,
239,17,7.7,1.7,12.7,,manager,,,,
1889,17.1,15.9,2.4,21.2,,laborer,mover,,,
72,17.3,23.9,8.1,19.9,,porter,concierge,,,
