occ2010,prestige
10,42
20,42
40,42
50,42
60,39
100,42
110,42
120,42
135,42
136,42
137,42
140,42
150,42
160,42
205,24
220,42
230,27
300,42
310,42
340,42
350,21
360,42
410,20
420,42
425,36
430,42
500,42
510,26
520,42
530,42
540,36
565,37
600,42
630,43
640,43
650,43
700,33
710,45
725,42
726,24
735,39
740,36
800,38
810,35
820,42
830,42
840,42
850,40
860,36
900,37
910,42
930,38
940,42
950,42
1005,33
1006,33
1007,33
1010,33
1020,33
1030,33
1050,33
1060,33
1105,33
1106,33
1107,33
1200,39
1220,33
1240,39
1300,54
1310,28
1320,48
1340,49
1350,49
1360,46
1400,46
1410,46
1420,49
1430,45
1440,46
1450,46
1460,46
1520,48
1530,49
1540,34
1550,33
1560,28
1600,41
1610,41
1640,29
1650,41
1700,41
1710,41
1720,40
1740,41
1760,41
1800,39
1820,39
1840,33
1860,39
1900,30
1910,30
1920,30
1965,30
2000,33
2010,27
2015,27
2016,27
2025,27
2040,24
2050,15
2060,15
2100,62
2105,62
2145,25
2160,25
2200,41
2300,27
2310,27
2320,27
2330,20
2340,20
2400,42
2430,22
2440,13
2540,33
2550,20
2600,31
2630,38
2700,29
2710,42
2720,32
2740,16
2750,20
2760,20
2800,33
2810,39
2825,39
2830,39
2840,20
2850,30
2860,20
2900,30
2910,27
2920,27
3000,32
3010,63
3030,20
3040,42
3050,40
3060,80
3110,21
3120,26
3140,26
3150,26
3160,26
3200,25
3210,26
3220,26
3230,26
3245,26
3250,42
3255,21
3256,21
3258,21
3260,32
3300,25
3310,25
3320,25
3400,25
3420,25
3500,11
3510,25
3520,30
3535,25
3540,25
3600,16
3610,16
3620,16
3630,13
3640,16
3645,16
3646,16
3647,16
3648,16
3649,16
3655,16
3700,32
3710,32
3720,33
3730,25
3740,33
3750,29
3800,30
3820,32
3840,30
3850,32
3900,8
3910,25
3930,20
3940,20
3945,37
3955,8
4000,16
4010,42
4020,16
4030,16
4040,25
4050,11
4110,11
4120,11
4130,11
4140,11
4150,16
4200,19
4210,38
4220,19
4230,14
4240,23
4250,17
4320,8
4340,9
4350,23
4400,8
4420,4
4430,10
4460,13
4465,31
4500,19
4510,19
4520,19
4530,18
4540,13
4600,13
4610,16
4620,20
4640,13
4650,17
4700,42
4710,42
4720,18
4740,25
4750,24
4760,24
4800,35
4810,36
4820,40
4830,35
4840,24
4850,24
4900,12
4920,35
4930,49
4940,24
4950,3
4965,24
5000,42
5010,21
5020,21
5100,26
5110,25
5120,22
5140,25
5150,25
5160,26
5165,26
5220,25
5230,25
5240,25
5250,25
5260,25
5300,25
5310,25
5320,13
5330,25
5340,25
5350,25
5360,25
5400,25
5410,35
5420,25
5500,26
5510,15
5520,31
5530,25
5540,25
5550,34
5560,25
5600,25
5610,26
5620,25
5630,25
5700,22
5810,23
5820,22
5840,36
5850,25
5860,25
5900,23
5910,25
5920,25
5940,25
6005,23
6010,37
6040,9
6050,9
6100,16
6120,20
6130,12
6200,42
6210,34
6220,29
6230,24
6240,20
6250,27
6260,20
6320,31
6330,23
6355,34
6360,28
6400,32
6420,23
6440,33
6460,29
6515,23
6520,32
6530,34
6600,20
6660,33
6700,30
6710,20
6720,32
6730,20
6740,20
6765,20
6800,24
6820,24
6830,26
6840,24
6940,24
7000,38
7010,28
7020,33
7030,25
7040,30
7100,25
7120,25
7130,34
7140,34
7150,27
7160,27
7200,27
7210,27
7220,30
7240,23
7260,19
7300,30
7315,30
7320,30
7330,30
7340,30
7350,28
7360,34
7410,33
7420,30
7430,27
7510,27
7540,30
7560,30
7610,23
7630,30
7700,38
7720,23
7730,23
7740,23
7750,23
7800,28
7810,29
7830,23
7840,23
7850,20
7855,23
7900,30
7920,23
7950,30
8030,32
8040,28
8100,23
8130,37
8140,31
8220,23
8250,36
8255,38
8256,25
8300,15
8310,15
8320,23
8330,20
8350,12
8420,23
8450,26
8460,23
8500,26
8510,26
8530,17
8540,23
8550,23
8600,36
8610,36
8620,36
8630,24
8640,23
8650,23
8710,23
8720,23
8730,26
8740,23
8750,27
8760,25
8800,23
8810,26
8830,23
8850,23
8910,33
8920,23
8930,23
8940,23
8950,20
8965,23
9000,42
9030,52
9040,39
9050,19
9110,22
9120,30
9130,25
9140,22
9150,22
9200,46
9260,20
9300,23
9310,42
9350,19
9360,19
9410,23
9415,19
9420,43
9510,31
9560,31
9600,23
9610,20
9620,20
9630,20
9640,23
9650,20
9720,20
9750,20
9800,11
9810,11
9820,11
9830,11
