code,label,occ_label1,occ_label2,occ_label3,occ_label4
10,Chief executives and legislators,executive,legislator,,
20,General and Operations Managers,manager,,,
40,Advertising and Promotions Managers,manager,,,
50,Marketing and Sales Managers,manager,,,
60,Public Relations and Fundraising Managers,manager,,,
100,Administrative Services Managers,manager,,,
110,Computer and Information Systems Managers,manager,,,
120,Financial Managers,manager,,,
135,Compensation and benefits managers,manager,,,
136,Human resources managers,manager,,,
137,Training and development managers,manager,,,
140,Industrial Production Managers,manager,,,
150,Purchasing Managers,manager,,,
160,"Transportation, Storage, and Distribution Managers",manager,,,
205,"Farmers, Ranchers, and Other Agricultural Managers",farmer,rancher,,
220,Construction Managers,manager,,,
230,Education Administrators,administrator,,,
300,Architectural and Engineering Managers,manager,,,
310,Food Service Managers,manager,,,
325,Entertainment and Recreation Managers,manager,,,
330,Medical and Health Services Managers,manager,,,
340,Natural Sciences Managers,manager,,,
350,Postmasters and Mail Superintendents,postmaster,,,
360,"Property, Real Estate, and Community Association Managers",manager,,,
410,Social and Community Service Managers,manager,,,
420,Social and Community Service Managers,manager,,,
425,Emergency management directors,director,,,
430,"Miscellaneous managers, including funeral service managers and postmasters and mail superintendents",manager,,,
500,"Agents and Business Managers of Artists, Performers, and Athletes",agent,,,
510,"Buyers and Purchasing Agents, Farm Products",buyer,,,
520,"Wholesale and Retail Buyers, Except Farm Products",buyer,,,
530,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",agent,,,
540,"Claims Adjusters, Appraisers, Examiners, and Investigators",adjuster,examiner,investigator,
565,Compliance Officers,officer,,,
600,Cost Estimators,estimator,,,
630,Human Resources Workers,recruiter,,,
640,"Compensation, Benefits, and Job Analysis Specialists",analyst,,,
650,Training and Development Specialists,trainer,,,
700,Logisticians,logistician,,,
710,Management Analysts,consultant,,,
725,"Meeting, Convention, and Event Planners",planner,,,
726,Fundraisers,fundraiser,,,
735,Market Research Analysts and Marketing Specialists,marketer,,,
740,"Business Operations Specialists, All Other",analyst,,,
800,Accountants and Auditors,accountant,auditor,,
810,Appraisers and Assessors of Real Estate,appraiser,,,
820,Budget Analysts,analyst,,,
830,Credit Analysts,analyst,,,
840,Financial Analysts,analyst,,,
850,Personal Financial Advisors,advisor,,,
860,Insurance Underwriters,underwriter,,,
900,Financial Examiners,examiner,,,
910,Credit Counselors and Loan Officers,counselor,,,
930,"Tax Examiners and Collectors, and Revenue Agents",collector,,,
940,Tax Preparers,accountant,,,
950,"Financial Specialists, All Other",analyst,,,
1005,Computer and information research scientists,scientist,,,
1006,Computer Systems Analysts,analyst,,,
1007,Information Security Analysts,analyst,,,
1010,Computer Programmers,programmer,,,
1020,"Software Developers, Applications and Systems Software",developer,,,
1030,Web Developers,developer,,,
1050,Computer Support Specialists,technician,,,
1060,Database Administrators,administrator,,,
1105,Network and Computer Systems Administrators,administrator,,,
1106,Computer Network Architects,architect,,,
1107,"Computer Occupations, All Other",programmer,,,
1200,Actuaries,actuary,,,
1210,Mathematicians,mathematician,,,
1220,Operations Research Analysts,analyst,,,
1230,Statisticians,statistician,,,
1240,Miscellaneous mathematical science occupations,mathematician,,,
1300,"Architects, Except Naval",architect,,,
1310,"Surveyors, Cartographers, and Photogrammetrists",surveyor,cartographer,,
1320,Aerospace Engineers,engineer,,,
1340,Biomedical and agricultural engineers,engineer,,,
1350,Chemical Engineers,engineer,,,
1360,Civil Engineers,engineer,,,
1400,Computer Hardware Engineers,engineer,,,
1410,Electrical and Electronics Engineers,engineer,,,
1420,Environmental Engineers,engineer,,,
1430,"Industrial Engineers, including Health and Safety",engineer,,,
1440,Marine Engineers and Naval Architects,engineer,,,
1450,Materials Engineers,engineer,,,
1460,Mechanical Engineers,engineer,,,
1500,"Mining and Geological Engineers, Including Mining Safety Engineers",engineer,,,
1510,Nuclear Engineers,engineer,,,
1520,Petroleum Engineers,engineer,,,
1530,"Engineers, All Other",engineer,,,
