cps_code,cps_label,occ_label_bigram,occ_label_unigram,occ_label_bigram_plural,occ_label_unigram_plural
10,Chief executives and legislators,executive,executive,executives,executives
20,General and Operations Managers,manager,manager,managers,managers
40,Advertising and Promotions Managers,marketing manager,manager,marketing managers,managers
50,Marketing and Sales Managers,sales manager,manager,sales managers,managers
60,Public Relations and Fundraising Managers,PR manager,manager,PR managers,managers
100,Administrative Services Managers,office manager,manager,office managers,managers
110,Computer and Information Systems Managers,IT manager,manager,IT managers,managers
120,Financial Managers,finance manager,manager,finance managers,managers
135,Compensation and benefits managers,HR manager,manager,HR managers,managers
136,Human resources managers,HR manager,manager,HR managers,managers
137,Training and development managers,training manager,manager,training managers,managers
140,Industrial Production Managers,factory manager,manager,factory managers,managers
150,Purchasing Managers,purchasing manager,manager,purchasing managers,managers
160,"Transportation, Storage, and Distribution Managers",logistics manager,manager,logistics managers,managers
205,"Farmers, Ranchers, and Other Agricultural Managers",farmer,farmer,farmers,farmers
220,Construction Managers,construction manager,manager,construction managers,managers
230,Education Administrators,school administrator,administrator,school administrators,administrators
300,Architectural and Engineering Managers,engineering manager,manager,engineering managers,managers
310,Food Service Managers,restaurant manager,manager,restaurant managers,managers
325,Entertainment and Recreation Managers,events manager,manager,events managers,managers
330,Medical and Health Services Managers,healthcare manager,manager,healthcare managers,managers
340,Natural Sciences Managers,science manager,manager,science managers,managers
350,Postmasters and Mail Superintendents,postmaster,postmaster,postmasters,postmasters
360,"Property, Real Estate, and Community Association Managers",property manager,manager,property managers,managers
410,Social and Community Service Managers,nonprofit manager,manager,nonprofit managers,managers
420,Social and Community Service Managers,nonprofit manager,manager,nonprofit managers,managers
425,Emergency management directors,emergency manager,manager,emergency managers,managers
430,Miscellaneous managers,manager,manager,managers,managers
500,"Agents and Business Managers of Artists, Performers, and Athletes",talent agent,agent,talent agents,agents
510,"Buyers and Purchasing Agents, Farm Products",buyer,buyer,buyers,buyers
520,"Wholesale and Retail Buyers, Except Farm Products",buyer,buyer,buyers,buyers
530,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",purchasing agent,agent,purchasing agents,agents
540,"Claims Adjusters, Appraisers, Examiners, and Investigators",claims adjuster,adjuster,claims adjusters,adjusters
565,Compliance Officers,compliance officer,officer,compliance officers,officers
600,Cost Estimators,estimator,estimator,estimators,estimators
630,Human Resources Workers,HR person,person,HR people,people
640,"Compensation, Benefits, and Job Analysis Specialists",HR specialist,specialist,HR specialists,specialists
650,Training and Development Specialists,corporate trainer,trainer,corporate trainers,trainers
700,Logisticians,logistics worker,worker,logistics workers,workers
710,Management Analysts,management consultant,consultant,management consultants,consultants
725,"Meeting, Convention, and Event Planners",event planner,planner,event planners,planners
726,Fundraisers,fundraiser,fundraiser,fundraisers,fundraisers
735,Market Research Analysts and Marketing Specialists,market researcher,researcher,market researchers,researchers
740,"Business Operations Specialists, All Other",business specialist,specialist,business specialists,specialists
800,Accountants and Auditors,accountant,accountant,accountants,accountants
810,Appraisers and Assessors of Real Estate,property appraiser,appraiser,property appraisers,appraisers
820,Budget Analysts,budget analyst,analyst,budget analysts,analysts
830,Credit Analysts,credit analyst,analyst,credit analysts,analysts
840,Financial Analysts,financial analyst,analyst,financial analysts,analysts
850,Personal Financial Advisors,financial advisor,advisor,financial advisors,advisors
860,Insurance Underwriters,insurance underwriter,underwriter,insurance underwriters,underwriters
900,Financial Examiners,financial examiner,examiner,financial examiners,examiners
910,Credit Counselors and Loan Officers,loan officer,officer,loan officers,officers
930,"Tax Examiners and Collectors, and Revenue Agents",tax collector,collector,tax collectors,collectors
940,Tax Preparers,tax preparer,preparer,tax preparers,preparers
950,"Financial Specialists, All Other",finance specialist,specialist,finance specialists,specialists
1005,Computer and information research scientists,computer scientist,scientist,computer scientists,scientists
1006,Computer Systems Analysts,systems analyst,analyst,systems analysts,analysts
1007,Information Security Analysts,security analyst,analyst,security analysts,analysts
1010,Computer Programmers,programmer,programmer,programmers,programmers
1020,"Software Developers, Applications and Systems Software",software developer,developer,software developers,developers
1030,Web Developers,web developer,developer,web developers,developers
1050,Computer Support Specialists,tech support,support,tech supports,supports
1060,Database Administrators,database administrator,administrator,database administrators,administrators
1105,Network and Computer Systems Administrators,network administrator,administrator,network administrators,administrators
1106,Computer Network Architects,network engineer,engineer,network engineers,engineers
1107,"Computer Occupations, All Other",computer worker,worker,computer workers,workers
1200,Actuaries,actuary,actuary,actuaries,actuaries
1210,Mathematicians,mathematician,mathematician,mathematicians,mathematicians
1220,Operations Research Analysts,operations analyst,analyst,operations analysts,analysts
1230,Statisticians,statistician,statistician,statisticians,statisticians
1240,Miscellaneous mathematical science occupations,scientist,scientist,scientists,scientists
1300,"Architects, Except Naval",architect,architect,architects,architects
1310,"Surveyors, Cartographers, and Photogrammetrists",surveyor,surveyor,surveyors,surveyors
1320,Aerospace Engineers,aerospace engineer,engineer,aerospace engineers,engineers
1340,Biomedical and agricultural engineers,biomedical engineer,engineer,biomedical engineers,engineers
1350,Chemical Engineers,chemical engineer,engineer,chemical engineers,engineers
1360,Civil Engineers,civil engineer,engineer,civil engineers,engineers
1400,Computer Hardware Engineers,hardware engineer,engineer,hardware engineers,engineers
1410,Electrical and Electronics Engineers,electrical engineer,engineer,electrical engineers,engineers
1420,Environmental Engineers,environmental engineer,engineer,environmental engineers,engineers
